State,Total,"Elementary/ secondary current expenditures, total",Instruction,"Support services, total",Student support,Instructional staff,General administration,School administration,Operation and maintenance,Student transportation,Other support services,Food services,Enterprise operations,Current expenditures for other programs,Capital outlay,Interest on school debt
North Carolina ...........,15389536.19,13943069.93,8718632.86,4488163.38,758524.69,479501.50,241839.60,826515.46,1146435.89,568541.59,466804.66,736273.70,0.00,65365.85,1359656.86,21443.55
North Dakota ................,1824683.69,1510291.92,906312.56,491975.34,60780.64,51918.85,65204.47,78090.17,129556.86,60165.16,46259.17,70245.15,41758.89,11519.69,270221.10,32650.98
Ohio .......................,24503674.74,21494254.41,12703608.47,8083921.03,1454985.98,856705.45,674296.29,1188192.33,1840935.02,1020879.97,1047926.00,705532.56,1192.35,468613.27,1921437.55,619369.51
Oklahoma ....................,6228822.45,5496401.54,3072796.90,2004137.90,374210.75,221747.92,164623.15,306275.42,576295.67,173226.06,187758.93,363633.61,55833.13,28946.12,637137.65,66337.13
Oregon ......................,7731995.93,6514333.64,3807508.24,2478956.83,494587.40,262615.81,91126.87,415588.85,516505.04,286763.02,411769.85,224745.41,3123.15,32995.12,827258.83,357408.35
Pennsylvania ...............,30765985.42,27263106.11,16871795.21,9385806.54,1538734.41,976882.11,823115.25,1214207.37,2495879.70,1297215.52,1039772.19,889643.85,115860.51,568044.11,1992715.20,942120.00
Rhode Island ..............,2591927.76,2362462.51,1428107.00,869618.02,248744.28,90505.54,35430.79,112808.29,183344.30,102334.65,96450.17,64215.84,521.64,57258.14,132829.33,39377.78
South Carolina .............,9721717.41,8035425.79,4455636.37,3147017.75,619624.85,497997.10,78239.26,520441.04,788674.43,303876.50,338164.58,412077.64,20694.03,61891.09,1286657.87,337742.67
South Dakota .............,1571669.84,1379026.00,816490.19,484101.91,76803.37,48890.17,46268.27,66994.95,143576.08,49058.60,52510.47,71485.99,6947.91,7170.74,152373.84,33099.27
Tennessee ...............,10418227.69,9260614.64,5652109.71,3091904.05,416268.01,546464.29,192700.96,560592.49,767734.06,347912.46,260231.78,516600.87,0.00,82702.67,849531.03,225379.35
Texas ....................,64601315.47,51033537.15,29431661.85,18755366.48,2515067.15,2622675.18,750018.09,2926013.84,5379369.58,1485563.72,3076658.92,2846508.82,0.00,349734.36,9830252.00,3387791.96
Utah ....................,5813156.79,4754713.91,3019473.37,1485926.61,185372.78,190711.55,53508.06,312558.39,432719.26,140221.59,170834.98,238817.58,10496.35,10557.16,929099.65,118786.07
Vermont ....................,1797465.14,1722620.78,1107391.08,570073.00,133215.79,71369.93,36223.67,108603.55,128666.18,56760.37,35233.51,43216.81,1939.88,10447.59,55204.10,9192.68
Virginia ....................,16798809.47,15296645.87,9313748.61,5390584.93,774800.07,1013487.87,247976.74,897282.24,1365284.98,787814.17,303938.88,588958.38,3353.95,77175.57,1328791.26,96196.77
Washington ..................,16007632.14,13188096.89,7646339.09,5018086.99,967929.08,854897.43,225675.42,800156.17,1118967.85,493731.12,556729.93,401398.31,122272.50,50813.87,2329122.03,439599.36
West Virginia ...........,3487740.74,3216323.24,1842144.16,1167027.01,166921.09,127203.26,55146.52,172427.97,346891.24,238828.45,59608.48,207152.07,0.00,46027.78,210863.08,14526.64
Wisconsin ................,11876059.37,10340697.08,6136688.88,3824345.33,516869.56,545466.02,298848.73,521086.22,958275.92,438470.03,545328.85,379585.36,77.51,363948.95,1011284.94,160128.40
Wyoming ...................,1913258.41,1555015.90,920260.16,588428.04,93675.79,86083.69,32730.55,82919.56,150620.74,77949.64,64448.08,45637.09,690.61,4934.61,350996.00,2311.90
